Country,Year,Month,Day,Temperature (Celsius),Precipitation (mm),Wind Speed (km/h)
Spain,2004,7,6,19.75030502981847,2.63210738681412,24.98724015018605
Spain,2001,5,6,-4.757169669255448,97.07797024083892,14.069115030190963
France,2008,7,9,16.46698075019044,4.096023959688155,9.46006284503243
Germany,2013,6,20,23.673991374705487,43.49062225696033,7.176071263403761
Italy,2018,2,25,17.015887847667386,65.4804365534342,8.666977966518019
United Kingdom,2000,8,18,23.47592498868518,36.893056453519876,17.28689303963651
Italy,2021,1,21,-0.46667283144013894,34.13636456051893,18.278502690472898
Spain,2008,2,20,19.271723390861997,25.00018876915191,17.51912107846845
Spain,2001,2,18,29.641246292986793,59.85514602395436,37.135277619159694
Germany,2008,3,1,28.902912042804736,83.40644170491986,30.33721799712478
Germany,2001,2,10,24.83926696528126,20.481779787498354,14.669033211940436
Italy,2002,7,30,26.87270547090848,8.230074412818677,12.324057180761763
Italy,2023,11,14,29.373447309894402,31.399783731480724,29.79634899582482
Germany,2008,3,9,27.709470957461598,70.89094274019158,23.980347677426185
United Kingdom,2007,4,10,8.887795712065124,67.91617534911845,23.491545606968216
United Kingdom,2008,6,16,25.56177038794867,32.29964416760571,7.21279153673418
France,2013,5,8,-0.6735177044235385,5.680358319955847,22.929693830504508
France,2006,1,27,16.861645614731184,31.025070002042042,7.866763624915827
France,2015,10,16,14.294760014058724,58.894834320702536,22.506486164753195
Spain,2012,9,16,-0.29309094848198214,8.596630662600834,12.522530968124336
Germany,2013,9,17,24.365985588427073,43.16908331406136,18.060282000725984
Germany,2020,7,11,-6.681293293524768,64.65415179847344,34.8658220247751
Germany,2016,5,20,27.08158027271176,5.487961331306279,22.587871625096824
Spain,2011,12,9,0.9376610276203721,26.44906266851844,16.897123238955967
France,2007,2,16,20.215648778721224,82.97997959441967,30.598041845566367
Germany,2013,7,24,-8.917715995654717,63.56224510355626,31.890643303440832
France,2007,6,18,26.978342452679684,73.3207740581266,32.00079631046739
France,2019,3,27,-5.215593035067929,14.363010531679121,37.101656659440486
Italy,2010,9,15,-3.5387650475904797,98.9568494496918,12.673430742358548
Germany,2009,6,21,11.36310981313077,76.07081189715589,28.477602906612823
Germany,2005,3,14,27.391029977264047,99.39528098085218,22.87742138635261
Spain,2006,5,20,14.885340581447078,85.97160034852477,25.922818775398497
Germany,2018,4,27,7.197957464574941,69.82111526739054,29.147984522822718
Germany,2023,9,21,7.876403639454331,42.25032296395624,8.424521801544099
United Kingdom,2006,3,8,15.741138988076194,37.363342593468616,38.68375631889485
France,2000,3,9,4.609496659246567,21.0045053678544,13.10034923924651
France,2013,5,24,10.329907282561773,70.57339276680315,15.913333947746274
United Kingdom,2007,3,12,12.307824147398058,52.921297774560315,15.921052577875313
Germany,2009,2,11,20.322918754767663,26.21369486814573,11.55741686673598
Italy,2012,7,26,13.947902465266036,3.559115919480782,23.099107200107625
Spain,2011,12,2,-3.9896403049914264,35.913953472155534,39.841738111363334
Spain,2009,11,6,21.52081654051056,3.706285415321442,18.964707101335
France,2002,5,10,26.266730401866184,7.667582925023031,23.72300599260742
Italy,2017,1,11,-8.495823309381594,54.43971586508515,10.961599539466144
Italy,2000,1,14,1.218922725677892,85.84120804181366,32.04816564990702
Spain,2012,11,2,10.943048887411102,75.09274856968457,20.704593229731046
France,2014,7,5,22.5145893341615,41.68220307246282,37.550724952070084
Italy,2009,11,21,8.954305807481198,30.84529965030146,26.308106724526912
Germany,2000,8,26,17.760898880231615,49.59496857448558,35.00579939613614
United Kingdom,2023,6,12,5.124706708056239,73.12261512185636,19.244106941646287
United Kingdom,2018,5,5,-8.094917131751336,56.68985342950922,8.667819169997513
United Kingdom,2024,12,1,24.632378711603124,60.50246611080191,11.696575103408776
Spain,2007,1,26,7.595404621049614,58.074600160765854,8.78477144523542
Germany,2002,3,3,21.566037153906862,66.61170186425662,9.369605944317811
United Kingdom,2002,12,10,17.61547599173278,39.02690562898472,10.375988092997837
Italy,2023,12,28,14.748602518738586,8.697128894813556,27.631481508719588
United Kingdom,2023,5,11,21.796645855080186,3.2899862323511497,39.78584870949638
United Kingdom,2003,10,2,18.954968359044155,33.89012515377138,37.27915148096058
United Kingdom,2016,8,1,9.736846933332352,6.64537103382531,34.752647499305425
Germany,2007,10,17,-4.7505992310530365,68.8950710402217,32.66905205929771
Spain,2005,11,22,20.66818727951361,50.489100869373225,24.607688016094794
Italy,2020,6,29,-0.08416189959005749,28.65853429289992,22.44794664309045
Germany,2021,6,30,22.362445924564177,72.44964205261051,12.608336163916176
United Kingdom,2006,1,29,28.904819350599993,65.57547987399641,38.657713835729645
Germany,2013,10,8,21.585870164260346,57.66572660565799,15.990902029199244
Italy,2013,3,18,-0.6812917790421213,33.34968878400555,13.562004348054401
Italy,2003,10,6,-9.874231557313585,1.3599881440007788,10.668130021972544
United Kingdom,2024,9,3,-9.681156682276274,32.83905970369404,29.26382520042312
Italy,2010,7,22,6.622633509734648,19.71242878086594,24.900898434425898
Italy,2017,9,4,-0.8063605664463545,67.39770962519167,38.93880156650664
Spain,2022,6,8,-7.618170912400197,61.32291625019954,21.37172077380867
Germany,2002,6,11,-3.896924429746065,71.06546494571762,19.388275328309298
Spain,2015,5,27,8.84245860333295,8.69191052361008,11.670303162621298
Germany,2004,12,24,1.2401962109626297,59.82627141602938,34.66307179542937
Italy,2008,3,30,24.866268291038182,85.34230519035208,34.597156396004095
Spain,2001,8,3,24.332449917855897,54.494341234839915,37.76567304482127
Italy,2002,7,26,18.309921198920208,82.97253720186384,9.954359084412038
Spain,2019,6,20,7.8993905046316435,85.58101244841257,33.33613205120391
United Kingdom,2010,11,6,16.811164821078812,54.687810748026855,23.790663847907453
Spain,2001,2,22,-8.112920779109345,9.807382278144006,36.9878239455028
Germany,2009,4,9,24.525998763527298,59.055074681662376,13.572290805351427
Italy,2002,7,12,20.391135694640493,45.97158743902865,10.259006658802612
United Kingdom,2001,6,18,3.3607749328031353,61.57839698461864,7.713357357766675
Germany,2007,6,21,18.890762657297767,93.51588020322734,31.508469351585045
Germany,2018,8,12,0.2235942989418973,71.3368544125441,8.546194333267545
Germany,2016,3,22,24.793082227620204,61.653330207456726,18.801061926274983
Spain,2005,7,4,-1.5199191694023249,4.9454378152855805,5.439077098307878
Italy,2009,9,16,6.538244694895653,42.89114059823752,39.06063573121611
France,2014,7,3,16.409598210376867,63.461092606512324,6.812974279961418
France,2013,11,17,-5.7834937653528495,27.737654343625874,16.876784392837237
Germany,2016,9,30,6.671278029042465,84.38789544419137,24.57114232776114
France,2004,11,13,-6.591056755639562,24.41061086848155,22.263798982481816
France,2001,6,21,26.545331842435786,68.73894658787843,11.938684149497863
United Kingdom,2015,10,7,2.226702130711132,78.30078293654026,6.804580502094957
France,2008,7,7,28.498964621469682,20.53214096808691,34.25470932258618
Spain,2022,9,27,-8.811765297084886,38.00785409970791,23.661963411166855
France,2001,5,18,13.706226889433346,39.030610944154965,35.592444681813234
United Kingdom,2004,9,20,25.76631553001321,21.66694959809551,16.702253575104837
Italy,2008,10,28,24.56299083149166,45.391062474719625,16.62622160635376
Italy,2018,4,4,11.122645436885819,11.699664998956028,17.429265768244
Germany,2003,10,24,21.050752018875016,22.355634274460822,7.937223894765452
Spain,2005,5,12,-6.426845952285314,25.054844906164554,14.612330250906357
France,2009,5,6,17.928914732622,4.9899100989078455,26.393991601976655
Italy,2021,1,10,24.29903887267662,36.928214513408676,35.05251580385635
Italy,2004,12,23,-7.59881722774606,2.707494563712398,9.168423406186992
United Kingdom,2006,1,3,10.158592577291408,73.54486131361686,21.512622537130262
Germany,2020,7,8,11.377870405272471,85.73937954718556,16.453795651361137
United Kingdom,2011,6,15,-9.308347459065565,85.82377846427518,5.039775621803814
Germany,2001,1,15,-4.879410623569185,78.4087163917193,39.978790231372216
Germany,2008,6,28,23.520241390118805,29.079529177265705,28.36200152776824
United Kingdom,2023,9,16,5.154585701321741,67.95521469970282,24.12269378398171
Germany,2023,2,22,-8.717501540568362,63.296686678555005,20.75566061407384
United Kingdom,2014,9,12,29.57261814789559,97.90461928451386,29.31489215180926
Spain,2021,3,29,-0.4789470830066289,83.99163138151285,11.837768754101205
Germany,2009,12,22,18.219941408756554,2.7838330719691107,13.750749455533398
Italy,2011,11,18,-8.918934335687393,74.33492571413598,11.053367196581052
France,2010,8,22,-6.151730392309576,19.528388518612427,35.840350281265145
France,2014,3,6,-2.646596597311208,98.80378012583483,28.340796618334426
United Kingdom,2016,5,2,-0.10554596929384097,51.46781459296093,34.56353421583003
Germany,2017,12,9,26.907153799500676,52.85573546485504,15.057886642354246
Germany,2005,7,27,8.048302829758867,29.812323905153114,25.250567667865184
France,2004,2,19,-1.6297891702017644,38.25865265942953,34.500337917819884
Spain,2016,9,10,-1.73821347910736,60.73413022735321,36.14223186890899
France,2022,5,27,13.286839718624144,28.4022867025178,37.745734622816215
Spain,2012,9,14,1.839832425735505,78.73251885960507,34.45324101761194
United Kingdom,2014,2,11,21.244604937259094,69.90964725055008,11.359246166098469
Spain,2009,10,10,-0.31776082953134477,96.50896197928824,10.419610277914686
Italy,2010,3,16,25.005729910683215,66.51216996574242,17.7214978949644
France,2007,10,26,2.8798165316655187,84.59826131015399,13.904090838327033
Italy,2016,6,28,11.53882643858051,2.932570530019607,34.75517980555732
Germany,2001,10,9,14.46230323816653,94.05225650485193,39.36927872697925
France,2020,3,7,11.336509609482668,92.23938489975187,7.000388677107761
France,2008,8,19,4.849032323280703,1.9032611216721174,22.658846348807167
Italy,2014,10,13,-9.62133162339159,72.01862051708883,29.483113546886727
France,2016,5,10,-7.722966894998176,77.89207232542013,16.7330832696852
France,2011,5,8,4.373622408064373,60.24631472340371,17.88412794870298
Italy,2006,3,12,25.511714504593336,72.4023672445797,34.4426719327999
Germany,2005,3,15,18.378669253625137,9.675727338933026,17.623940833391522
Spain,2005,10,3,2.763164201452737,63.76841182063787,39.460109992704595
Germany,2005,2,16,9.06820080259012,98.79990716723428,10.663924521774447
France,2014,10,5,4.45769783359561,69.87223403460887,5.424218390134608
France,2020,10,22,19.644611872535727,94.99056865462418,14.307817994304882
France,2021,8,11,22.976711928548603,34.00923630136609,10.083314870546417
Italy,2009,3,12,5.968579875948432,25.361033644332743,31.9306041646633
Italy,2016,1,30,1.6599055273332386,77.08807931751646,10.405562299430247
Italy,2013,6,23,14.553633589829072,29.138411901416937,39.64111976697557
United Kingdom,2013,10,24,-7.005845480172415,95.40665238219643,18.498573790671863
United Kingdom,2020,9,18,8.328970362426055,75.99850969860505,7.82577995582311
United Kingdom,2014,2,8,20.814691929039697,38.47878373806518,19.92603786523099
United Kingdom,2024,5,11,-7.403580042909104,8.61969048472211,21.611075170585554
Germany,2007,9,26,7.485860167791344,61.08676749331509,13.37321249542352
Spain,2014,10,9,-8.940029459262995,72.23253835150672,7.7693258623460935
Germany,2018,7,12,20.385417979509775,54.6533396487058,34.28519122097222
United Kingdom,2006,8,19,18.648315039189885,53.16996176709894,37.08002782627561
United Kingdom,2008,6,8,8.751998497312208,70.27602123531884,28.672076627474823
France,2017,7,30,28.787364706821386,89.5390450788404,27.367101771893342
Germany,2014,10,27,5.1981791423113,72.68292716203251,8.628296085397508
Italy,2003,1,5,-4.882006204250051,45.63429526974099,18.07319556684547
Italy,2008,9,7,28.858687079937454,54.7047089137941,5.15856824448241
Germany,2017,12,5,25.81335817164269,68.04415053206885,23.32795891387182
Germany,2003,1,27,7.197029011972322,42.02034346381337,5.065694951434326
Spain,2015,2,30,16.639436402740664,85.90688411055363,9.178176088272249
Spain,2001,4,17,2.1768258344421874,59.20996476844083,37.97408834271076
Spain,2022,11,10,28.689991494691675,50.60916727207139,22.098330828987596
Italy,2002,7,21,-8.067632288315219,29.734826166661364,27.099044744017455
Germany,2022,4,27,27.07831915504049,59.36110868901967,16.909890965612494
Italy,2024,8,7,8.659914660717526,23.149692732208614,6.243870562498662
United Kingdom,2011,8,23,12.331236124402029,85.05585104415762,33.12185815178981
Spain,2013,8,15,17.46722670977229,92.94427495093659,26.01639768453028
France,2013,10,14,29.978879485406658,49.73034143008553,33.519183819169285
Italy,2007,8,22,-0.833197112671499,34.19664848243201,37.24675155601886
France,2012,7,24,14.258318806010593,19.167840920010025,33.75743234145361
Germany,2021,2,10,0.6765883154413856,95.52012181784855,38.104850266907
France,2023,8,13,10.485090693794689,89.31962250974912,6.4088576640933255
Germany,2019,1,8,28.518152919333474,4.974054493300395,12.677500853961387
Spain,2007,11,5,6.3994745009186325,21.456074534380598,19.446857423227684
Spain,2013,5,9,24.454221827624927,21.247353337808573,25.914081318930094
France,2011,9,25,2.354220073745484,59.77563106130715,13.43635587645466
France,2002,1,1,-1.823899823749354,59.207546959685196,15.117799540665837
Germany,2023,4,30,1.1008456837835858,5.978369892757341,19.944107293093264
United Kingdom,2005,9,29,-9.064512698788771,79.85365497934733,26.756785500941696
United Kingdom,2015,8,6,18.74309567121984,60.05699738049245,10.484891179383052
Germany,2014,6,26,-3.0188101691216174,82.03574031874368,39.2790951852491
France,2002,1,14,-1.9694186101221725,72.05788701495794,30.31076986537167
United Kingdom,2016,2,30,20.369057917090704,13.959418255172428,12.500024282625093
France,2009,6,28,2.060229502525388,28.967377874750987,31.53333112557632
Italy,2000,6,20,-1.272278567484948,86.54156817648087,21.667573465880903
France,2018,6,30,27.753379790097767,59.35700341432959,39.09706294533856
France,2004,12,23,22.95159282778676,41.97166265920952,30.850830638477596
United Kingdom,2024,3,13,29.96155291385213,29.345906031841885,28.321590188214515
Spain,2015,2,22,18.896213323784472,51.69903806543596,6.205794859959179
France,2003,11,29,14.770324049322518,41.494496740908346,13.131684320922664
Germany,2003,8,18,-7.381412281192898,95.44889340295893,26.447970543506106
France,2010,3,16,29.943586080744545,41.46168134782629,31.22201404082331
Italy,2003,3,18,9.579340775422907,75.31581823868663,38.255445952299596
United Kingdom,2020,12,28,27.47440673740084,97.0794545556749,5.626613936635524
France,2003,8,7,28.26187553329975,55.32710633404603,23.238027291411395
France,2004,2,19,13.267393280043805,5.57515955865796,20.94357154551613
Spain,2023,10,4,25.131261794173263,82.17346148687122,36.04672260173183
United Kingdom,2003,11,13,13.65303521707235,6.906036054981524,6.489729455434235
United Kingdom,2014,3,26,27.173363581360213,37.55402316230582,30.866107496170173
Italy,2019,7,24,29.856264342575784,33.527038199268475,10.03207049779711
Spain,2005,10,11,-6.00992141815174,99.58235880979058,35.89838830849365
France,2001,9,14,10.22127890622751,76.58774302563542,7.260101392519832
France,2016,4,12,1.2557905894860077,90.18257911331834,37.211170344315754
United Kingdom,2020,11,5,7.434227740175814,6.534201217624592,12.85345953205531
Italy,2023,6,22,7.151319771915048,18.52559961398452,7.394437025546765
Italy,2007,4,29,11.235837320666981,87.75112217275509,37.946580237131435
Germany,2006,12,27,17.31207029743555,54.93384302573136,10.800498370688144
United Kingdom,2000,6,3,7.1914217222989905,71.6994399547327,6.485777302571893
Germany,2010,3,5,13.966546058185934,65.43031627671621,13.102073858777231
Spain,2005,12,30,-9.950685220815227,30.65820211419097,7.417859279468546
Spain,2017,8,16,-0.5788704816077761,91.37950923504704,13.967106919227733
Italy,2018,3,4,7.378974291046934,48.06996958615331,28.766426789468785
Italy,2009,8,19,7.091983728940868,37.4925713511682,23.823151452380756
Germany,2024,8,18,13.632609775742537,97.673904492701,21.842232048032898
France,2012,12,25,1.8931767475469883,49.38535394539688,10.771904841587972
Germany,2020,9,13,6.278404433110673,7.969952748699127,32.81740830334804
France,2024,8,2,-6.281852034187936,58.988070568301644,22.575208322644762
United Kingdom,2022,2,30,14.271198437006795,47.2062755480412,16.43694456650706
Germany,2005,12,21,10.820886981801227,21.863073637005225,37.82505162053343
Italy,2005,4,28,10.266326391365595,81.69824286468949,34.66259996997397
Spain,2016,5,8,29.634747873971428,55.27171506893252,7.393592264491758
Germany,2001,4,19,24.156029364117416,18.321937550912224,10.016953932513282
Italy,2020,6,22,5.875586902294355,22.5463160990652,39.39044628770118
France,2005,5,15,8.266447399802878,45.71391722569174,14.985901950676954
United Kingdom,2016,4,18,13.702067622183783,96.11085224686204,35.138077091206725
France,2005,4,25,-0.14133764664918225,86.82372607582859,32.336096995284876
Germany,2007,9,5,26.21861365600114,34.203304519551324,8.856589103727961
France,2013,3,7,-0.3863571003370012,64.36647677084014,26.14175351888229
Germany,2020,12,19,29.06229713171863,39.23306922947659,29.766532601174447
United Kingdom,2007,3,12,8.993310314527236,48.3277563714059,36.09843612519775
United Kingdom,2020,12,11,28.236443362733816,61.36929963063111,26.652851584139267
United Kingdom,2009,6,4,28.420353243252507,42.13443185306207,21.60280576947552
United Kingdom,2019,2,18,17.031753117740674,6.732651835899439,18.0988817346346
Italy,2000,9,18,5.0199077851794005,12.449269311571754,7.422429495860692
France,2023,2,5,13.766370101893347,81.25679023297401,20.020993791677213
France,2016,8,23,-6.987408826115735,8.96913096085028,24.953417637086012
France,2023,10,27,9.0994018830723,99.51286180536128,33.69302296336183
Germany,2007,3,11,8.465416583666109,86.34529917671256,27.24977273742445
United Kingdom,2008,1,3,-5.045539503526646,4.976052053382107,9.344064861046213
Spain,2013,2,28,27.637822536051488,49.63822807296361,17.217737525700517
France,2014,2,21,-1.7252223735267957,89.72438307786848,15.664429296779621
Italy,2004,4,24,11.379388982122613,56.24333860094231,21.602898251164778
Italy,2008,7,20,6.45885683591365,8.802452502805435,27.220037949456074
Germany,2012,1,23,19.55725623718779,20.37959174303694,18.67947526333119
Spain,2017,5,10,25.1628875029948,58.495145226721505,32.65253388696288
Italy,2002,3,24,1.8815850469995077,53.64899849432858,16.67232618602864
Spain,2024,12,26,21.367517753642083,5.112006446473627,34.823035883727236
France,2017,1,25,16.021028104170874,34.258017598361604,9.523835597139385
Germany,2023,4,18,12.19222683638288,63.73288483192562,25.93431507365756
United Kingdom,2000,10,11,13.5673545895677,66.69101349052784,19.08401655987521
United Kingdom,2008,10,7,-2.996514948824456,72.29731628562193,29.984414483262274
United Kingdom,2013,7,10,11.409144774904458,1.9450311041644297,35.45420495604475
Italy,2000,7,14,27.817882995222732,37.12437490087087,36.45441388763946
Spain,2019,7,15,16.788479916617625,31.555937950640335,38.91136492971209
Italy,2002,5,27,-9.902563129296569,24.383551687894347,6.181227454905791
Italy,2020,4,30,14.430454054223773,27.399702846669584,22.735472989085284
Spain,2000,9,16,13.279350103455798,19.836302856615738,14.858959166680231
Spain,2010,4,28,21.835439216684982,64.72435024403936,37.52508639501749
Italy,2003,4,4,19.50564571536978,13.635977547720646,12.319612776982105
Italy,2009,8,19,-1.4533103403623535,75.44354734075618,37.915868140239475
United Kingdom,2005,11,28,1.2440846434962793,98.84020715305033,35.5871981375239
Germany,2007,10,28,-8.398833381726734,22.941423642419146,18.334223751580907
Spain,2002,4,28,8.28821229985195,49.24197285560512,16.83782852135806
France,2003,5,1,12.056503592340274,65.25029902386788,12.763231031531426
Germany,2011,1,25,14.075163939149942,97.64227520091285,28.677844382886047
United Kingdom,2019,6,1,4.179989857286245,82.83961625063199,37.44472508475662
Italy,2009,5,15,-3.452645278735762,32.05016441940997,15.68660014576954
France,2003,11,18,28.8353934420318,18.34061524898537,25.453909585111063
Italy,2014,4,7,8.32375521212482,25.60916922809737,27.230057799751723
United Kingdom,2003,2,13,-3.7552847082845275,77.77032879705773,26.972600542607825
Italy,2011,10,7,15.656474795762154,91.21576141623417,25.835597660790732
United Kingdom,2014,12,15,-9.809233668464667,98.7907648493484,39.361514445717525
Italy,2011,8,9,-2.9239924843846454,6.011075586383874,23.555463755179037
Italy,2020,8,10,0.7362709295748147,87.73804142280099,35.21077659179517
United Kingdom,2000,5,16,-2.206063306558419,74.14804014128018,20.301649975368697
Italy,2010,12,7,24.232674882757593,74.16974005007961,12.231450245778342
France,2001,4,29,12.170195523460361,71.52212226721969,35.52702166598867
Germany,2005,10,30,-0.39095964184893717,71.11827017138074,30.32612451592182
Spain,2024,10,8,28.40408405317222,10.491497170996201,13.03902295579028
Germany,2017,4,5,24.973219219102283,78.43989832685992,38.0668538613834
France,2022,12,7,10.65504357393873,70.42745852046242,9.801821706382142
France,2001,7,5,13.420310713020992,90.13738886993845,5.254154578034568
United Kingdom,2023,6,26,1.463967539232227,22.282713215129313,9.500030363529099
United Kingdom,2002,5,18,13.760713255956823,27.17530998199035,28.788114034945533
France,2009,7,16,4.916954840148517,73.3330121833503,9.698552876697342
United Kingdom,2004,3,13,25.91380056377632,97.977352419013,31.988048833929415
United Kingdom,2000,5,11,14.277711167873584,32.114352787512615,35.01191522063256
Germany,2001,5,1,20.122422472390106,51.18194193100024,34.86601153674448
Spain,2012,10,1,14.121632793828567,20.383608138894328,18.132076679817658
France,2008,6,25,0.668366591928029,63.76710581391802,19.871615588176702
Italy,2011,6,3,-9.541860274304375,44.27791226479497,22.153075260125856
Germany,2001,10,13,-9.306935235619523,85.67923050759019,24.552204118733794
United Kingdom,2015,6,12,19.095149508954393,79.9751108049261,17.75573747969903
Italy,2003,4,17,16.53436646875597,35.29564055017237,9.101229765773912
Spain,2012,12,7,14.738481071320827,16.08820067486585,13.200292902113505
Italy,2008,11,2,23.062422571440933,62.76227542067168,33.973605938979624
Italy,2013,2,14,3.446348450267571,81.8807501901363,6.536706873547651
Germany,2019,11,16,23.75872276126217,36.66302356859556,33.14145485201661
Germany,2022,12,28,4.6703550734524555,94.16876393388281,36.480269628892756
Germany,2023,2,18,19.815738833668796,57.685782462694746,29.129684130762413
United Kingdom,2019,1,16,1.6957739131287042,29.724078897279615,15.327818516795414
Spain,2018,3,21,-5.019405286822112,85.16618381942985,13.922557831207554
Spain,2014,6,16,20.609582640028098,94.36365600909993,37.31675688608819
France,2004,6,14,12.299841343359539,30.774472975371904,31.996277281974965
Italy,2020,12,28,-0.33883043412431313,30.44287796212143,6.846910175930003
United Kingdom,2020,6,13,-7.2879749330282895,88.78361381969341,30.128502401423553
United Kingdom,2000,12,13,15.842933834591378,2.527474046277567,36.188979078822086
Germany,2016,6,11,23.657725873567642,22.795168223421513,26.365808466048968
United Kingdom,2019,5,12,17.840425064678715,30.03245484320427,24.11985252913855
Germany,2004,11,22,7.448056713306357,37.30146180758799,32.68731870614589
France,2012,10,29,8.504633330298557,69.46373657874149,37.64259523557045
Germany,2016,12,20,5.34646753888952,36.38429257408126,29.548529036619858
United Kingdom,2000,12,4,9.55458169893495,44.18960903271494,23.75819222181204
France,2011,10,25,0.521973088228016,1.0156951912524637,15.688695199610962
Germany,2009,12,28,13.344253636353358,17.56736897346415,21.12737502805968
Germany,2011,4,19,11.035098503930897,47.842356622435254,39.95244640945049
France,2015,11,25,5.468697710101559,45.14646215188942,10.874030534977702
Germany,2008,5,23,24.448840762099252,95.92939151933622,10.107519891268065
Italy,2019,5,3,11.27946000875935,67.09185483952372,35.203117050612676
France,2015,4,5,13.217071270699208,52.53986209115141,34.97485203999307
Spain,2013,9,21,8.364511617570002,43.98423269656071,22.131845480108243
Germany,2015,11,30,6.4816039492483455,97.72718835404073,25.393026665343392
France,2000,9,17,28.34728399840803,80.33738952703735,22.105420380530635
United Kingdom,2011,11,13,9.74946023417386,75.07855452930983,11.666106159758005
United Kingdom,2000,2,16,20.953076224195506,74.42629148873233,26.9100311955539
United Kingdom,2009,4,2,1.7432359130867283,41.135427826640736,32.208532971245745
Germany,2012,1,30,-6.754202728842156,58.591243492695774,39.1007372184569
France,2011,1,16,-8.596925176633427,78.43510286408363,12.745483241307184
France,2024,2,7,1.257113293782739,10.977858021203012,22.97281135836337
Spain,2007,7,12,15.705002519329135,65.21474013783983,6.8402760839677
Spain,2005,4,17,10.675083801665618,31.729679620418892,16.958906911979554
Germany,2011,12,16,-6.054945176345918,54.18556120123898,15.788098912040672
Spain,2002,5,23,4.821812599433093,47.53431702611014,19.661794386865623
Italy,2018,11,11,15.085569570908973,73.54648039145671,32.67954605586441
Germany,2022,1,10,-2.091555765423614,72.44102578054978,15.123167394988894
Spain,2003,6,23,24.89059419537911,90.7104897475281,22.660610313725467
United Kingdom,2004,10,26,20.723145728829266,17.879864644983158,13.061738022484354
Italy,2015,3,28,-8.96767946883951,83.86762783169988,16.898008745771214
Spain,2007,7,5,16.51985788860502,14.285175132008243,22.509442601287066
United Kingdom,2019,10,15,16.642677703878206,14.604505464639129,26.52016677013569
United Kingdom,2011,7,7,7.957980314778787,81.00919475196883,22.816227423953887
United Kingdom,2008,12,13,2.2232591986555406,98.18070406761684,8.227393372264313
United Kingdom,2022,2,10,13.478249930150561,21.83434768888223,16.200465593603262
France,2005,6,19,24.328873048007196,19.63193191293674,33.486981253299795
Italy,2008,4,10,-3.877432981467215,7.300286802978961,9.968879258590611
France,2012,11,20,16.575946263933904,12.869166080776417,9.124982414875117
United Kingdom,2013,6,1,-2.8412883544397394,71.45474910271584,9.926467733869508
United Kingdom,2010,3,26,7.709222028051418,36.500245751552285,37.01060743237178
Italy,2014,3,13,6.531128373389073,10.371097337323187,11.405954969831352
Germany,2016,8,10,21.40679577603815,5.004112677936046,26.66368786573753
United Kingdom,2018,4,9,-4.012986557548488,97.73717180865329,35.262394549670866
Italy,2014,8,22,8.855873765312076,98.73517250571867,11.42414839313375
Spain,2001,8,6,23.81955458740051,21.809289657730357,28.48727147275442
United Kingdom,2011,10,30,2.085169067612629,75.34085663562222,20.051663015560692
Spain,2004,7,29,12.180267009763774,13.276114216308644,13.037273576003008
Italy,2024,4,15,7.199095029684823,17.779962921667458,22.51928512933642
Germany,2014,1,28,20.165885185641717,70.6082502087838,15.14287216313516
Italy,2008,2,26,10.782822890251985,42.79215211531405,8.239829898280501
France,2001,9,19,15.25948114707132,64.37147700005171,14.56592050918475
Italy,2013,6,20,5.7754185946542655,69.73911173215298,23.0390606818368
Spain,2022,6,28,6.786937139352176,57.45880871779161,17.475639799120454
United Kingdom,2020,10,4,0.11878301851144712,93.30857473847645,35.12930201481048
Italy,2011,8,28,26.77899719880078,18.412401669427236,5.146210482789154
Germany,2000,8,4,17.33496465879293,68.58267544294745,17.646292956710372
Germany,2003,5,6,3.843609574937684,82.5986429993811,7.263044083987922
Germany,2015,6,14,14.769636262875046,90.24279916389078,13.875363489958291
Italy,2005,1,5,-2.468235280205233,77.43779829850679,31.983411849075175
United Kingdom,2019,8,25,26.97245211149979,88.04069306197128,13.80403722951491
Italy,2018,11,19,1.777209806021407,34.11168466886656,25.12206525291388
Italy,2007,3,9,16.861608517283493,49.55673838965099,15.185766163674229
Italy,2003,3,25,6.746620987328718,64.57011500733913,39.472258006892865
France,2007,3,2,17.145289654114745,47.90877423879346,23.092229435815483
Italy,2001,11,1,17.12849569018737,12.415772643630973,28.24528335128218
Germany,2009,12,15,10.178792150993349,51.93341037863431,9.010873301292879
France,2022,6,29,-2.563287788903632,3.131802183807353,37.17234892592938
Germany,2008,4,19,9.152451462169804,45.14620370479923,20.414146418823872
France,2019,5,26,29.451327497014596,34.85040538716866,19.29896684988868
United Kingdom,2004,9,22,9.006407232974666,46.60480845412218,28.548527782612908
United Kingdom,2019,9,3,4.386649253203334,72.88648454772459,11.795223220292375
France,2017,7,12,0.8390425915774955,83.82497530693232,29.652366748745877
Germany,2009,1,28,-9.351658101794431,41.39615406372346,28.266093823137282
United Kingdom,2009,7,16,-0.8562939081535745,78.74482410890809,38.49897586977439
Italy,2003,11,27,10.127297179066332,27.409455651258885,39.63049221382976
United Kingdom,2005,3,2,8.9857424712025,46.21008303880411,29.724065817383394
France,2003,7,18,17.51914010856071,7.8702461768934695,34.488182256914705
Spain,2017,10,5,27.70134455670898,90.31259173747337,36.42267366323537
United Kingdom,2015,2,11,7.139931150492984,84.19923921523703,8.497176561662279
France,2006,5,9,-3.0241372759491547,83.30311506323554,33.153355990420785
United Kingdom,2004,5,2,28.371309219158604,23.875798014930293,19.999227823644894
